Date;Home;Away;1(o);1(e);X(o);X(e);2(o);2(e);BTS(o);BTS(e);BTS_no(o);BTS_no(e);Over(o);Over(e);Under(o);Under(e);1H;Match;Goals;League;Link;Notes
26.05.2024 22:00;Sevilla;Barcelona;3.60;4.75;3.80;4.20;1.95;1.67;1.44;1.53;2.63;2.38;1.50;1.50;2.63;2.63;1 - 1;1 - 2;15, 31, 59;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/bDmOFmNG/#/match-summary;
26.05.2024 17:15;Celta Vigo;Valencia;1.91;1.90;3.60;3.70;4.00;3.80;1.70;1.67;2.05;2.10;1.80;1.80;2.00;2.00;0 - 1;2 - 2;5, 49, 60, 62;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/2R3LeSVp/#/match-summary;
26.05.2024 17:15;Las Palmas;Alaves;2.40;2.30;3.30;3.50;3.00;3.00;1.91;1.70;1.91;2.05;2.10;1.87;1.73;2.03;0 - 0;1 - 1;50, 71;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/hCtXDRiT/#/match-summary;
26.05.2024 15:00;Getafe;Mallorca;2.30;2.30;3.30;3.20;3.20;3.25;1.95;2.05;1.80;1.70;2.20;2.63;1.67;1.50;0 - 0;1 - 2;48, 90, 90+3;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/GUi3KB8o/#/match-summary;
25.05.2024 22:00;Real Madrid;Betis;1.36;1.29;5.50;6.00;7.50;9.00;1.62;1.80;2.20;1.95;1.40;1.33;3.00;3.40;0 - 0;0 - 0;;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/txwTE7xN/#/match-summary;
25.05.2024 19:30;Almeria;Cadiz CF;2.10;2.15;3.60;3.75;3.40;3.10;1.62;1.62;2.20;2.20;1.73;1.73;2.10;2.10;0 - 1;6 - 1;30, 48, 51, 57, 65, 71, 86;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/0IHg08NT/#/match-summary;
25.05.2024 19:30;Rayo Vallecano;Ath Bilbao;2.70;3.20;3.30;3.25;2.63;2.35;1.80;1.91;1.95;1.91;2.00;2.10;1.80;1.73;0 - 0;0 - 1;67;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/jmpGH9h4/#/match-summary;
25.05.2024 17:15;Real Sociedad;Atl. Madrid;2.40;2.63;3.30;3.30;3.00;2.70;1.70;1.67;2.05;2.10;1.91;1.95;1.91;1.95;0 - 1;0 - 2;9, 90+3;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/KMlKGT7A/#/match-summary;
25.05.2024 15:00;Osasuna;Villarreal;2.63;2.50;3.50;3.60;2.60;2.63;1.53;1.44;2.38;2.63;1.62;1.57;2.30;2.38;1 - 0;1 - 1;30, 57;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/CdoCIkwb/#/match-summary;
24.05.2024 22:00;Girona;Granada CF;1.25;1.22;6.00;7.00;12.00;12.00;1.67;1.67;2.10;2.10;1.33;1.30;3.40;3.50;3 - 0;7 - 0;30, 33, 44, 54, 75, 78, 90;SPAIN: Laliga - Round 38;https://www.flashscore.com/match/football/UXe7JVNi/#/match-summary;
